ProductId,BestSummary,avg_score
B0000CD06J,"Review of Roastaroma, Cafix, Pero, and Postum",3.88
B0000CDAY2,BAR HARBOR,4.769230769230769
B0000CDBQF,Not as magical as claimed,3.7
B0000CDBQL,My favorite seasoning!,5.0
B0000CDBRM,Not my cup of tea,4.777777777777778
B0000CDBRN,Not my cup of tea,4.777777777777778
B0000CEPDP,A Godsend,4.1521739130434785
B0000CEPED,Quick and apparently yummy toy,3.2580645161290325
B0000CES0O,"Healthy, Easy, and Fast!",4.7
B0000CEU6P,The Real Deal!,3.5
B0000CEU6T,The Real Deal!,3.5
B0000CEU7D,The Real Deal!,3.5
B0000CEU7J,The Real Deal!,3.5
B0000CF8T1,No more mud,4.2
B0000CFN0Y,I love these to get a BOLD color,4.288461538461538
B0000CFPI2,Better than other seasonings,4.714285714285714
B0000CFXYA,Great Teas,3.5
B0000CG4I0,100% Kona - not easy to find!,4.166666666666667
B0000CGDUK,The Real Deal!,3.5
B0000CH39R,Shipping is crazy,3.5
B0000CH39S,Shipping is crazy,3.5
B0000D15YQ,Got to be an Italian to drink this,3.789473684210526
B0000D1675,It's about time!,4.9
B0000D9N1H,gifting,4.909090909090909
B0000D9N59,Best cheese in the world,4.5625
B0000D9N8O,Wonderful Cheeses,4.636363636363637
B0000D9N9S,One of my favorite snacks,4.181818181818182
B0000DBN1F,"Good Teas Overall, But Tazo Disappoints",4.333333333333333
B0000DBN1I,wonderful tea!,4.588235294117647
B0000DBN1L,Enjoyable Chai Experience,4.636363636363637
B0000DBN1Q,The Mysterious Tazo Tea,3.75
B0000DBN2F,The Best Tea,4.9411764705882355
B0000DBN2I,My all-time favorite tea,4.0
B0000DG4N9,This is the Best!,4.909090909090909
B0000DG4NJ,Unrelenting Heat,4.181818181818182
B0000DG56P,"If you want HOT, this is gonna burn you",4.545454545454546
B0000DG5A8,For one thing and one thing only!,3.0714285714285716
B0000DG72R,Sad Decline,4.0
B0000DG72T,Sad Decline,4.0
B0000DG72U,Sad Decline,4.0
B0000DG86W,Description should state it is strictly for outdoor use,4.166666666666667
B0000DG8AR,"Outstanding!  Bought 2 as gifts, now I've got to get some for me!",3.0
B0000DGF5S,"Not the Plant I ordered, DON'T BUY THIS PLANT",3.433333333333333
B0000DGF9V,"Misleading description, but nice plant.",4.025974025974026
B0000DGFA9,Excellent Condition & Quality w/Fast Shipping,3.8085106382978724
B0000DGFAC,Would I have bought if had seen?,3.2
B0000DGFCL,Excellent Bonsai,3.4545454545454546
B0000DGFCO,Nice little fukien tree!,3.4594594594594597
B0000DGG1U,"3 Years later, tree is beating the odds",4.266666666666667
B0000DGG1V,Very pleased with Chinese Elm Bonsai - Looks beautiful !,3.1818181818181817
B0000DGG22,"Fabulous, even better than the example picture",3.5454545454545454
B0000DGG8B,Brussel's Fringe Flower Bonsai Tree,3.1923076923076925
B0000DGG8D,Crepe Myrtle,2.7142857142857144
B0000DGGMQ,"Not white chocolate, but tasty and lower in fat/calories",3.857142857142857
B0000DID5R,Use with caution,4.278688524590164
B0000DIX2M,This is definitely HOT...,4.916666666666667
B0000DIX2R,When you graduate from Sudden Death.,4.333333333333333
B0000DIXKU,good stuff,3.5
B0000DIYK0,Excellent candy for an excellent host.,4.8
B0000DIYKD,Insanely delicious licorice,4.181818181818182
B0000DJ7RX,Yummy,4.107142857142857
B0000DJ7SR,Yummy,4.107142857142857
B0000DJ7SW,"Omaha cheesecake sampler/ Teresa, ny",4.909090909090909
B0000DJ7TL,Yummy,4.107142857142857
B0000DJ7Z6,"Omaha cheesecake sampler/ Teresa, ny",4.909090909090909
B0000DJ89V,bland/tasteless,3.2777777777777777
B0000DJDJZ,I'm a believer!,4.266666666666667
B0000DJT3C,Fun for Lego Party,4.172413793103448
B0000DK4ZR,AMAZING!!!,4.954545454545454
B0000DKQ59,Pure vanilla powder made of maltodextrin,3.1875
B0000E2PX6,Maggi - a necessity in the kitchen,4.636363636363637
B0000E6I02,100% Kona - not easy to find!,4.166666666666667
B0000GGHNI,Chipoodle,4.454545454545454
B0000GGHZQ,like a good enchilada sauce,4.833333333333333
B0000GH6UG,Consistant basic Mexican hot Chocolate you can dress up,3.761904761904762
B0000GH6UQ,Heaven!,4.285714285714286
B0000GHNSQ,Tasty Stuff,4.6923076923076925
B0000GHNT0,"Nice kick, great flavor, good on anything.",4.705882352941177
B0000GHNTK,Tasty Stuff,4.6923076923076925
B0000GHNTU,Not just another Chipotle,4.733333333333333
B0000GHNUE,I love El Yucateco,4.8
B0000GHNUY,Oh Yes!!!,4.578947368421052
B0000GHNVS,The Best Mexican Picante Hands Down,4.7
B0000GHNWC,The Best Mexican Picante Hands Down,4.7
B0000GHNWM,A *must-have* household staple,4.666666666666667
B0000GHXSG,A *must-have* household staple,4.666666666666667
B0000GHXSQ,A *must-have* household staple,4.666666666666667
B0000GIVA0,As good as the best I have ever tasted,4.416666666666667
B0000GIVAU,THE BEST! Who knew?,5.0
B0000GIVFA,THE BEST DRINK EVER!!,4.714285714285714
B0000GIZR4,Amazing Soda!,4.666666666666667
B0000ICLKY,so yummy!,4.357142857142857
B0000ICLLS,Spicy Deliciousness,3.9523809523809526
B0000IEAHQ,low quality sauces from wal mart & taquerias,3.9166666666666665
B0000IJYK4,WAY too much $$$$,3.8461538461538463
B0000SWYS8,Too little for too much !,2.4
B0000SY9U4,Yummy,4.384615384615385
B0000SY9UE,Yummy,4.384615384615385
B0000T4LYC,beautiful with Nordic Ware Beehive cake,4.7368421052631575
B0000TA3B2,Absolutely vile,4.333333333333333
B0000TA3QW,Yuuummmmm,4.8
B0000TBK64,This stuff is the crack of salad dressings.,4.818181818181818
B0000TBK6O,They must add crack to this dressing because its addictingly good,4.9375
B0000TL6CC,The best soyrizo I have found!,4.1
B0000TLEEW,The Wild Huckleberry-Tastebud Bursting Flavor; Pure Ambrosia,4.5
B0000TSQ6G,Refuting the 2-Star Review.,4.48
B0000TSQ6Q,Refuting the 2-Star Review.,4.48
B0000TWLJO,Market Spice TEA,4.909090909090909
B0000TZ204,Love ALL Natural Balance flavors,4.1
B0000UBTY6,So delicious!,4.818181818181818
B0000UBTYG,A Great Chai!!!,4.933333333333334
B0000UC7RE,Mmmmmmmm...!,4.2727272727272725
B0000V09L4,"If you love cheddar cheese,you will ,like this assortment,of cheeses.",3.8
B0000V1B3E,Fiesta Fria Tea,4.2
B0000V1B3Y,Wonderfully Refreshing,4.578947368421052
B0000V8HTU,The people at Hawaii Roasters know this is good coffee.,4.166666666666667
B0000V8IOE,Not exactly what I expected,3.9274193548387095
B0000VJ55U,Simple Feline Diabetes Test,4.473684210526316
B0000VLETA,Perfect for fine detail decorating...,4.142857142857143
B0000VLTZY,Vanilla Paste is terrific,4.095238095238095
B0000VLU0I,The Best Vanilla I've Ever Used,4.6
B0000W0GQQ,The best tasting vanilla bean paste out there,4.583333333333333
B0000W4PDQ,One of the Best!,4.416666666666667
B0000WKU8K,Tastiest mayo ever,3.769230769230769
B000100EQ4,wow what flavor,3.75
B00011RJU2,Best Orange Juice in the World!,4.0
B0001217BS,Unnaturally YUM,4.1875
B00012182G,Whole Rabbit - NOT!,3.5826771653543306
B000121BY6,"Great Item, but not the place to buy it...go to TRADER JOE'S",4.2
B000121C0E,not very good,3.9
B00013C2TS,Perfect,4.4
B00013MY78,Red Vines vs. Twizzlers,4.909090909090909
B000143ZK2,A Better Choice for the Movies or Anytime!,4.909090909090909
B000144GWS,Outstanding Seasoning,4.695652173913044
B00014CZQC,it simply works!,4.222222222222222
B00014D37W,One of the few oils that will penetrate the hair shaft,4.114285714285714
B00014DXCC,Mild sweet tea,4.251461988304094
B00014E3LM,Truly Evil.,2.3
B00014FKPA,I love this tea!,4.038461538461538
B00014G43W,Best baby formula for sensitive tummies,4.857142857142857
B00014H710,I love this tea!,4.038461538461538
B00014IVPQ,Great for Skin and Hair,4.797752808988764
B00014JNI0,Awesome Taste,4.776315789473684
B00014JYNO,Mouth watering!,4.618055555555555
B00014VTNW,"For those who like savory flavors, a real treat on toast",4.5
B0001590IC,This is the real thing,4.5
B00015HNMM,Good Bagged Pu-erh,4.6
B00015NIFI,Roasted raspberry chipotle sauce,5.0
B00015UC4I,"Great value, good company service",4.666666666666667
B00015UC4S,Clear Jel,4.678571428571429
B00015UC52,Where has this stuff been all my life ? ?,4.75
B00015UC5M,Perfect for Ice Cream and Popsicles,4.666666666666667
B00015UC6Q,Perfect for Popsicles and Italian Ices,4.3
B00015YTS8,BEWARE!! The shipping costs more than the product!!!!!,4.090909090909091
B000162MSQ,Best Cookie Ever - Vegan or Otherwise,4.857142857142857
B00016ATBS,India's Original Spiced Milk Tea.,4.0
B00016AU3K,Relaxing tasty tea,3.3333333333333335
B00016LA7K,Truly much better than bullion!,4.351351351351352
B00016LA7U,You will never use dehydrated bouillon again!,4.0
B00016LA8E,Best stuff on earth,4.625
B00016LA8Y,"Soup, sauce or seasoning",4.162162162162162
B00016LA9S,NO MSG?,3.588235294117647
B00016LAFM,CONTAINS MSG,4.368421052631579
B00016LZRK,Repeatedly emailed with NO reply,2.5
B00016LZT8,"Excellent, With A Variety Of Uses..",4.0
B00016Q6BK,Dyeing wool,4.6
B00016Q6DS,Not soft pretzel salt,2.4166666666666665
B00016R1MI,Good - with a caveat,3.923076923076923
B00016UX0K,What?  All These Folks Are Right?,4.791666666666667
B00016UX1E,Known to be one of the best,4.8
B00016XLWC,"My ""emergency"" chocolate",4.5
B000173IHE,Yummm,4.894736842105263
B00017L1TG,"Yum, yum, yum--movie theater taste, no greasy fingers",4.511627906976744
B00017LEX4,Great Popcorn!!!,3.789473684210526
B00017LEXE,Shipping is INSANE!!!,3.7761194029850746
B00017LEXO,Tasty popcorn that doesn't get stuck between your teeth!,3.6808510638297873
B00017LEXY,Great Popcorn!!!,3.789473684210526
B00017LEY8,I loved it,3.4545454545454546
B00017LF24,Damned fine salt!,4.564102564102564
B00018CX60,Better than no rhubarb pie,4.2727272727272725
B00019TMK4,Great Company with a Wonderful Product,4.666666666666667
B0001AO8DY,Brown &amp; Haley---A Rich Tacoma Tradition!,4.5
B0001AO9LA,addiction,3.735294117647059
B0001AV4QS,"Fine espresso, but not as pictured",3.4375
B0001AVRQK,Sorghun not sorghum?,2.769230769230769
B0001AVTD6,So much better than the store brands; great value too,4.3
B0001AVTDQ,Buyer beware!!,3.0714285714285716
B0001BH5YM,And You Gewt To Keep The Pot Too!,5.0
B0001BV0LG,One of the best root beers available,5.0
B0001BVO9Y,Wonderful on it's own or mixed in drinks,5.0
B0001CVDYO,Yah  it's da Ting,4.5
B0001CVDZI,Try these ideas...,4.872340425531915
B0001CXRKM,Best tea I have ever had the pleasure of drinking!,4.541666666666667
B0001CXRL6,The best energy drink I have tried!,4.7
B0001CXRMK,Sooo good!,4.0
B0001CXUDG,Good Alternative To Cocoa...,4.5
B0001CXUDQ,Tastes like cardboard,2.7
B0001CXUHW,A Reliable Product - Makes delicious breads...,4.42
B0001E5CJO,Clint kills 'em all,4.083333333333333
B0001EQN88,Full-flavored Decaf!,4.323076923076923
B0001ES9F8,Warning: highly addictive!,4.302083333333333
B0001ES9FI,Dark is best,4.410891089108911
B0001FFHCK,Quality product and superior customer service,4.133333333333334
B0001FFK40,"Only 9 cents per cookie (Family Pack), they won't even last long enough to get stale!",4.714285714285714
B0001FQUK8,Fabulous coffee!,4.636363636363637
B0001FQVCA,Sweet and Delicious,4.6521739130434785
B0001FQVMK,What the heck did they do to the wrappers?!?!,4.454545454545454
B0001FR0B6,The best Soda ever,4.25
B0001FR0BQ,Ignore your first reaction...,4.421052631578948
B0001FUGTE,"citric acid, 4 oz.",4.3076923076923075
B0001G6V6K,Ridiculous Price,3.8
B0001GDC4O,Excellent value for price,4.384615384615385
B0001GUQ34,best chicken base ever,4.2
B0001GZ6GG,Necta Sweet,4.809523809523809
B0001GZ6H0,HARD TO FIND.,5.0
B0001I1HFS,DEEEEElicious!,4.021739130434782
B0001IOSCM,"I can't believe I'm reviewing this, but....",4.6923076923076925
B0001IOSDQ,Happy again!,4.9523809523809526
B0001IVR8A,"underrated, give it credit, nothing compares to the original!!",3.8378378378378377
B0001K5KXG,Annual Holiday Treat,4.6
B0001K5MGG,Not the real thing,2.423076923076923
B0001KL70Q,Outstanding...,4.857142857142857
B0001LO37O,My favorit tea,4.916666666666667
B0001LQJZI,Full-Flavored Tea for Daily Use,4.4
B0001LQKBQ,My favorite bag tea,4.7727272727272725
B0001LQZOI,This Tea has actually been around for years in the UK...,4.7272727272727275
B0001LVX4K,Cheese sandwiches are naked without Branston Pickle!,4.8
B0001M0Z3O,What an hot offer,5.0
B0001M0Z6Q,"Package NOT Marked ""Tellicherry""; NO SKU or ASIN #",4.586956521739131
B0001M0ZL6,NATURAL GUM,3.5833333333333335
B0001N7RLQ,"Delicious in most iced drinks, a little tricky to make, worth the effort",3.875
B0001QNMW6,Alot smaller than it looks,3.5454545454545454
B0001QYYVO,Everyone loves this gift,3.0
B0001R04LM,An Amazing Assortment Of Obscure Confections,3.65
B0001R05KC,"Fun, but disappointing for the price",4.235294117647059
B0001SVZGE,Simply the Best Tea in the World,4.851851851851852
B0001T2L5M,"Too expensive, I bought it somewhere else for $3.00",4.642857142857143
B0001TNCK0,Got me off prescription acid reflux medications!,4.642857142857143
B0001TO8FI,Really Great!,4.5
B0001TO8NU,Really Great!,4.5
B0001TPOY2,I love this tea!,4.038461538461538
B0001VAFGW,From a jerkycraving vegetarian,3.923076923076923
B0001W2W5S,what a money saver,4.181818181818182
B0001W2W62,Good Sprouts!,4.416666666666667
B0001W2Z00,These wonderful jars,4.5
B0001WA6D8,Lakerol Special Licorice,4.625
B0001WAMA0,Wasn't the same as description,3.5
B0001WV7VS,Good Ingredient,4.153846153846154
B0001XIZMQ,Saffron rice,4.642857142857143
B0001ZZIEC,Chocolates might be great; shipping was less so; customer service is great,4.304347826086956
B00020HHAO,Mild sweet tea,4.251461988304094
B00020HHE0,Mild sweet tea,4.251461988304094
B00020HHGS,Mild sweet tea,4.251461988304094
B00020HHHC,Mild sweet tea,4.251461988304094
B00020HHK4,Mild sweet tea,4.251461988304094
B00020HHM2,Mild sweet tea,4.251461988304094
B00020HHRW,Mild sweet tea,4.251461988304094
B00020UGMU,Chocolates might be great; shipping was less so; customer service is great,4.304347826086956
B00020UGN4,Chocolates might be great; shipping was less so; customer service is great,4.304347826086956
B00020V5N4,Best Belgian Chocolates I have had,4.5
B00020V5NE,Best Belgian Chocolates I have had,4.5
B00020V5NO,Best Belgian Chocolates I have had,4.5
B00020XNTS,Belgian Favorite,4.7105263157894735
B00020XNU2,Belgian Favorite,4.7105263157894735
B00020XNUC,Belgian Favorite,4.7105263157894735
B00020XNUW,A Dream of a Chocolate,4.5
B00020XNV6,A Dream of a Chocolate,4.5
B00021639Y,Wow! Incredible product!,4.818181818181818
B0002268MA,Retro gum,3.4444444444444446
B0002268R0,At last!,4.052631578947368
B00023323W,Don't be fooled - this sauce rules!,4.2
B00023T3GW,Sweet!,4.7272727272727275
B00023T3IA,you'll never think of mayonnaise the same way again after trying Kewpie,4.5
B00024CW1O,Awesome horsepills,4.269230769230769
B00024D628,Your body will thank you,4.285714285714286
B00024D9X4,Tastes Great and packs a punch!,3.090909090909091
B00024DB5K,Suprisingly good.,3.8125
B00024DB6Y,Suprisingly good.,3.8125
B000255OIG,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B00025644O,"WHOLE anchovies, but excellent!!",4.7
B000256DPE,Please Read Label,4.565217391304348
B00025DBEK,Very excellent,4.785714285714286
B00025DKYG,Don't let the plain package fool you!,4.9
B00025YVH6,Best Buddy Bits,4.5
B00025YVPI,For the cat with hardwood floors,4.15
B00025YW9S,Still stinky,4.4
B000260M96,2 boys under 10 love it,3.588235294117647
B000261NZ8,Every can was damaged - what are they trying to pull,4.470588235294118
B000261O02,Every can was damaged - what are they trying to pull,4.470588235294118
B00027CE28,"Very crunchy, very good",4.52
B00027CL5S,Kitty Crack,4.634146341463414
B00027UVL4,Espresso is good but the packaging is questionable,4.0
B00028HN5A,Nippy,4.247311827956989
B00028HN64,The Best You Can Give Your Dog--If You've Not Earning Minimum Wage,5.0
B00028LDJC,Ka-Blam,4.090909090909091
B00028MUDA,This tea is a mixture of different spices,4.24
B00028P3CK,Stevia Extract,4.236111111111111
B00028PD7A,Your body will thank you,4.285714285714286
B00028QDMY,Outrageous Price!!,4.029411764705882
B0002994Q0,Nice if you can get it opened,4.2727272727272725
B00029F5E0,The Rundown,4.380952380952381
B00029KOVO,Nice spice tea,4.833333333333333
B0002AQ2VO,Not made in China!,4.454545454545454
B0002AQ2VY,Not made in China!,4.454545454545454
B0002AQ2WI,Not made in China!,4.454545454545454
B0002AQRMI,A+ Pet cologne,4.25
B0002ARQYQ,Don't Be Without a Buster Cube!,3.762237762237762
B0002ARRCC,not quite tricky enough and high mess potential,3.473684210526316
B0002ARSR6,Not for the heavy chewer,2.5833333333333335
B0002ASCO4,Best non-automatic litter disposal system w/better directions!,3.625
B0002ASCRQ,Kitten Heaven,4.6
B0002ASCS0,Catnip you cant go wrong with,5.0
B0002ASLQS,Pet Owners Use Caution!,3.5833333333333335
B0002ASM94,Doxies favorite,4.441860465116279
B0002ASMT4,my powerful chewer loves this,4.40625
B0002AZWX8,For Frappe addicts!,4.625
B0002AZWYC,Great Addition to my Garlic Gun,4.5
B0002BKIRW,Perfectly Mellow Tea,4.928571428571429
B0002CDZD0,Pleasant Moth Deterent,4.153846153846154
B0002CRZRW,Addicted to this tea.,4.166666666666667
B0002D8MBY,the best,4.6923076923076925
B0002DD8S6,Best Hot Sauce in the World,5.0
B0002DGJS2,Quick and apparently yummy toy,3.2580645161290325
B0002DGL26,2 out of 3 ain't bad,3.5517241379310347
B0002DGRPC,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B0002DGRQ6,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B0002DGRRA,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B0002DGRSY,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B0002DGRZC,NO waste at all ----  great for training  ----  all dogs love liver treats,4.7514450867052025
B0002DGSRO,Catnip Acres,2.6666666666666665
B0002DH5MG,Will not work based on animal behavior,1.372093023255814
B0002DHNLE,Dogs love it in the kong,4.12
B0002DHNXC,Kong Paste,3.9302325581395348
B0002DHNY6,My dog loves this treat,3.8
B0002DIO2G,MEE OOO Whee,3.3043478260869565
B0002DJ34Y,"Did NOT receive item as pictured, mylar balls were ruined",3.9411764705882355
B0002DJFTW,Please Read Label,4.565217391304348
B0002DJFUQ,Please Read Label,4.565217391304348
B0002DJNNK,Best Buddy Bits,4.5
B0002DJZX8,Quick and apparently yummy toy,3.2580645161290325
B0002DK60E,Best litterbox I have used hands down.,3.707317073170732
B0002DQYGE,"This is pure, beautiful tea.",4.666666666666667
B0002DU87K,Herbmeal - Herb Seasoning Salt,5.0
B0002E2FH0,great coffee!!!,4.5
B0002E2GQU,Full vs. Medium Roast Espresso Beans,3.7288135593220337
B0002EOVQI,Great for sensitive systems,4.3125
B0002EOW4E,green beef tripe,4.538461538461538
B0002EQTIG,Fabulous Japanese tea,4.6923076923076925
B0002EW9AS,superb eggnog mix,4.083333333333333
B0002G3UY0,Fresh taste.,4.333333333333333
B0002G3UZE,The best jasmine tea,4.5
B0002H3R2E,"vegetarian, healthy dog cookies",4.684210526315789
B0002H3TAO,Best Ever Treats,4.636363636363637
B0002H3TB8,"Chicken Great,  Beef Hard As A Brick, Not Edible!",4.733333333333333
B0002H3TBI,"Chicken Great,  Beef Hard As A Brick, Not Edible!",4.733333333333333
B0002HDLZM,Shatila Baklawa is the best,4.3125
B0002HDM06,I Highly Recommend!,4.535714285714286
B0002HDM0Q,very poor quality stuff,4.181818181818182
B0002HV63Q,Okay for flavored coffee,4.5
B0002I0GUY,Wellness for well fed doggies,4.254237288135593
B0002I0GVI,"used to love it, but a scary experience for my golden raised questions",4.6
B0002I0GVS,Wellness puppy food,3.847826086956522
B0002I0GXG,Wellness puppy food,3.847826086956522
B0002I0LKY,Pretty good so far with slight modification,4.444444444444445
B0002IMRQA,Good pop. Not to be confused with the gum.,4.764705882352941
B0002IMRTC,My favorite soda but so hard to find :(,4.8
B0002IX5XO,Great for sensitive systems,4.3125
B0002IZD1G,Tonkatsu Wa Oishii Da Yo! Daisuki!,5.0
B0002J5FMC,"Deceptive Description, Pricing and Shipping (But I got a Refund)",4.0
B0002JFVJE,I love this tea!,4.038461538461538
B0002JG0HG,Excellent price for organic maple syrup!,4.409090909090909
B0002JTGFE,Fondant by Wilton,3.1538461538461537
B0002L3BYE,Nasty stuff,2.5
B0002L3BYO,Awesome!,3.1923076923076925
B0002LD9IW,An Addict's Dream,4.3
B0002LDAHC,"When in doubt, drink the original!",4.354838709677419
B0002ML7S0,Dog went from flabby to fit,4.0588235294117645
B0002ML9U6,for fretting felines and canines,3.6842105263157894
B0002MLA5K,"Filler food is empty, leaves your cat always needing more",3.6
B0002MRUVI,Bakeries in Colorado take notice,4.230769230769231
B0002NV04K,LOVE THESE MUSHROOMS,4.0
B0002NVKVI,Knock your socks off,3.9
B0002NVKWC,Knock your socks off,3.9
B0002NVKWW,Knock your socks off,3.9
B0002NVKZ4,Superior quality and fantastic customer service!,4.53125
B0002NVLLC,LOVE THESE MUSHROOMS,4.0
B0002NVLLW,LOVE THESE MUSHROOMS,4.0
B0002NYMJU,"Actually and sadly, there's no such thing as real truffle oil.",3.769230769230769
B0002NYMK4,"Actually and sadly, there's no such thing as real truffle oil.",3.769230769230769
B0002NYNYO,Tickles your tongue and purse,4.277777777777778
B0002NYNYY,Tickles your tongue and purse,4.277777777777778
B0002NYO1G,Smells Great; Makes Things Taste Great,4.571428571428571
B0002NYO1Q,Smells Great; Makes Things Taste Great,4.571428571428571
B0002NYO20,Smells Great; Makes Things Taste Great,4.571428571428571
B0002NYO2K,Smells Great; Makes Things Taste Great,4.571428571428571
B0002NYO6Q,Excellent taste!,4.4375
B0002NYO70,Excellent taste!,4.4375
B0002O0126,Cats love it (not really a surprise...),4.222222222222222
B0002PCET8,Genuine Taste!,4.3
B0002PHEDO,Pure Maple Extract,4.2
B0002PHEFW,Pure Maple Extract,4.2
B0002PHEU2,Great Deal,4.595744680851064
B0002PHEW0,Great Deal,4.595744680851064
B0002PHEXE,You can't go wrong with a quality product from a dedicated Seller.,5.0
B0002PHEZC,Kudos from an avid baker-,4.731343283582089
B0002PHFKQ,Orange Flower Water,4.9
B0002PSOJW,Hot-Cha-Cha-Cha,4.753846153846154
B0002Q1X6C,"beware, these are tuber indicum, not melanosporum",2.8636363636363638
B0002QEIX2,A Plus for Global Commerce!,4.571428571428571
B0002QEL98,This product was not properly described.,3.772727272727273
B0002QF0UW,Best Damm Chili on the Market!,4.25
B0002QF1LK,Best Cereal BY FAR,4.545454545454546
B0002QF27I,"If you want it for a Christmas gift, better order in August!",3.9411764705882355
B0002QF42Q,Tas-tee Dredssing by Herni's,4.909090909090909
B0002QX3Q0,Part of my training pack,4.666666666666667
B0002R1HVC,Nice product but lousy delivery service,3.948717948717949
B0002R38XC,Waste of money,3.4054054054054053
B0002R5Q1Y,"Some good, some bad, and not alot",3.8666666666666667
B0002RE0K2,Choloate beyond belief,4.928571428571429
B0002RE0L6,Choloate beyond belief,4.928571428571429
B0002REY7Q,Choloate beyond belief,4.928571428571429
B0002SPRN0,Some Education About Vegan Cats,3.8181818181818183
B0002SQ1MG,Some Education About Vegan Cats,4.583333333333333
B0002SQ47I,vegan dog,4.909090909090909
B0002SQ4HS,Some Education About Vegan Cats,4.6
B0002TA77A,"First excited, then disappointed....",3.8666666666666667
B0002TIZLA,watch out for ethoxyquine,4.1875
B0002TJAZK,"Filler food is empty, leaves your cat always needing more",2.3076923076923075
B0002TJB04,"Filler food is empty, leaves your cat always needing more",2.3076923076923075
B0002TVW24,Don't buy this low-grade marzipan,3.3636363636363638
B0002TVYWW,Marzipan fanatics rejoice!!,4.2727272727272725
B0002UEEAA,Tea-riffic value & quality,4.894736842105263
B0002VXYQY,"Strange shipping, good product",4.5
B0002VXZ40,Fabulous snack,4.636363636363637
B0002WSOEK,Yummy!,4.636363636363637
B0002X8HB4,Check the ingredients out.,3.9324324324324325
B0002XAFTG,Great Low Calorie Training Treats,4.344262295081967
B0002XAG36,Was not impressed,4.2
B0002XIBO2,"Good news, Coco Wheats lovers!",4.916666666666667
B0002XIBQU,"Great Tasting, Great Texture, Lots o' Fiber and terribly overpriced",5.0
B0002XIC0U,"If you like grits, you'll love these grits",3.6153846153846154
B0002Y121K,Outrageously good!,4.9
B0002Y2TSU,Beefeaters® Chicken Liver Freeze Dried Treats for Dogs,4.25
B0002Y2TTO,Beefeaters® Chicken Liver Freeze Dried Treats for Dogs,4.25
B0002Y2TUI,Beefeaters® Chicken Liver Freeze Dried Treats for Dogs,4.25
B0002Y2TVW,nice pig ears,3.230769230769231
B0002Y2TWQ,FULL OF WORMS,4.166666666666667
B0002YB21A,Great to have in any kitchen,4.5
B0002YB40O,Can't cook Japanese without it,4.0588235294117645
B0002YGSA0,This stuff is addicting!,4.923076923076923
B0002YGSCI,This hot mustard is friggin' awesome!,4.964285714285714
B0002YGSJQ,An excellent pepper spice for Japanese food lovers,4.833333333333333
B0002YW26E,Roach Magnet,3.5476190476190474
